ID,TIME,PRED_S
1174,49.0,0.9999989
1174,50.0,0.9999988
1174,51.0,0.99999857
1174,52.0,0.99999833
1174,53.0,0.9999981
1174,54.0,0.99999785
1174,55.0,0.9999975
1174,56.0,0.999997
1174,57.0,0.99999654
1174,58.0,0.99999595
1174,59.0,0.99999523
1174,60.0,0.9999945
1174,61.0,0.9999937
1174,62.0,0.9999926
1174,63.0,0.99999154
1174,64.0,0.9999902
1174,65.0,0.9999889
1174,66.0,0.99998736
1174,67.0,0.9999857
1174,68.0,0.9999838
1174,69.0,0.99998164
1174,70.0,0.9999794
1174,71.0,0.99997675
1174,72.0,0.9999739
1174,73.0,0.9999707
1174,74.0,0.9999671
1174,75.0,0.99996316
1174,76.0,0.99995863
1174,77.0,0.9999535
1174,78.0,0.9999479
1174,79.0,0.99994147
1174,80.0,0.9999343
1174,81.0,0.9999262
1174,82.0,0.99991715
1174,83.0,0.9999069
1174,84.0,0.99989533
1174,85.0,0.99988234
1174,86.0,0.9998677
1174,87.0,0.9998512
1174,88.0,0.99983263
1174,89.0,0.9998118
1174,90.0,0.99978834
1174,91.0,0.9997619
1174,92.0,0.9997322
1174,93.0,0.9996989
1174,94.0,0.9996613
1174,95.0,0.9996191
1174,96.0,0.999572
1174,97.0,0.9995191
1174,98.0,0.9994599
1174,99.0,0.9993938
1174,100.0,0.99932027
1174,101.0,0.9992384
1174,102.0,0.9991474
1174,103.0,0.999047
1174,104.0,0.99893624
1174,105.0,0.9988146
1174,106.0,0.99868125
1174,107.0,0.998536
1174,108.0,0.9983783
1174,109.0,0.9982078
1174,110.0,0.99802446
1174,111.0,0.99782795
1174,112.0,0.9976186
1174,113.0,0.9973966
1174,114.0,0.9971623
1174,115.0,0.9969162
1174,116.0,0.99665904
1174,117.0,0.9963916
1174,118.0,0.99611473
1174,119.0,0.9958294
1174,120.0,0.9955367
1174,121.0,0.9952376
1174,122.0,0.9949332
1174,123.0,0.99462456
1174,124.0,0.994313
1174,125.0,0.99399924
1174,126.0,0.99368423
1174,127.0,0.9933693
1174,128.0,0.9930548
1174,129.0,0.9927417
1174,130.0,0.99243087
1174,131.0,0.9921225
1177,1.0,1.0
1177,2.0,1.0
1177,3.0,1.0
1177,4.0,1.0
1177,5.0,1.0
1177,6.0,1.0
1177,7.0,1.0
1177,8.0,1.0
1177,9.0,1.0
1177,10.0,1.0
1177,11.0,1.0
1177,12.0,1.0
1177,13.0,1.0
1177,14.0,1.0
1177,15.0,1.0
1177,16.0,1.0
1177,17.0,1.0
1177,18.0,1.0
1177,19.0,1.0
1177,20.0,1.0
1177,21.0,1.0
1177,22.0,1.0
1177,23.0,1.0
1177,24.0,1.0
1177,25.0,1.0
1177,26.0,0.9999999
1177,27.0,0.9999999
1177,28.0,0.9999999
1177,29.0,0.9999999
1177,30.0,0.9999999
1177,31.0,0.9999999
1177,32.0,0.9999999
1177,33.0,0.9999999
1177,34.0,0.9999999
1177,35.0,0.99999976
1177,36.0,0.99999976
1177,37.0,0.99999976
1177,38.0,0.99999964
1177,39.0,0.9999995
1177,40.0,0.9999995
1177,41.0,0.9999994
1177,42.0,0.9999993
1177,43.0,0.99999905
1177,44.0,0.9999989
1177,45.0,0.9999988
1177,46.0,0.99999857
1177,47.0,0.99999845
1177,48.0,0.9999982
1177,49.0,0.9999981
1177,50.0,0.99999785
1177,51.0,0.9999976
1177,52.0,0.9999974
1177,53.0,0.99999726
1177,54.0,0.999997
1177,55.0,0.9999968
1177,56.0,0.99999654
1177,57.0,0.9999962
1177,58.0,0.99999595
1177,59.0,0.9999957
1177,60.0,0.99999535
1177,61.0,0.999995
1177,62.0,0.99999475
1177,63.0,0.9999944
1177,64.0,0.99999404
1177,65.0,0.99999356
1177,66.0,0.9999932
1177,67.0,0.9999927
1177,68.0,0.99999225
1177,69.0,0.9999918
1177,70.0,0.9999912
1177,71.0,0.9999906
1177,72.0,0.99999
1177,73.0,0.9999894
1177,74.0,0.9999887
1177,75.0,0.99998784
1177,76.0,0.999987
1177,77.0,0.9999862
1177,78.0,0.9999852
1177,79.0,0.99998426
1177,80.0,0.9999831
1177,81.0,0.9999819
1177,82.0,0.9999807
